,,,,
관리번호,공원명,소재지지번주소,위도,경도
41360-00058,진접2호도담공원,경기도 남양주시 진접읍 금곡리 970,37.7192162,127.1915425
41360-00059,진접6호한빛공원,경기도 남양주시 진접읍 금곡리 985,37.7221182,127.2017407
41360-00060,진접1호해밀공원,경기도 남양주시 진접읍 금곡리 1084,37.71199895,127.1895491
41360-00061,장현3어린이공원,경기도 남양주시 진접읍 장현리 710-2,37.726114,127.1937654
41360-00062,장현3어린이공원,경기도 남양주시 진접읍 장현리 710-6,37.7232914,127.1927287
41360-00063,힐스테이트황금산 APT 소공원,경기도 남양주시 다산동 3720-2,37.6074695,127.1663634
41360-00064,양지어린이공원,경기도 남양주시 오남읍 양지리 807-5,37.6987771,127.1989011
41360-00065,덕소4호공원,경기도 남양주시 와부읍 덕소리 110-2,37.5859681,127.2166206
41360-00066,오남1지구 오남아이파크어린이공원,경기도 남양주시 오남읍 오남리 891-5,37.6966072,127.2012855
41220-00056,본정1리 마을쉼터,경기도 평택시 팽성읍 본정리 47-16,36.946182,127.007023
41220-00057,비전쌈지,경기도 평택시 비전동 788-3,37.000544,127.092964
41220-00058,석근1리 마을쉼터,경기도 평택시 팽성읍 석근리 8-9,36.939908,127.054346
41220-00059,석봉리 마을쉼터,경기도 평택시 팽성읍 석봉리 123-5,36.983403,127.043641
41220-00060,신대1리 마을쉼터,경기도 평택시 팽성읍 신대리 225-2,36.947249,127.000419
41220-00061,신대2리 마을쉼터,경기도 평택시 팽성읍 신대리 211-53,36.946419,126.999132
41220-00062,안정4리 마을쉼터,경기도 평택시 팽성읍 안정리 100-8,36.961730,127.040502
41220-00063,유천동 마을쉼터,경기도 평택시 유천동 788,36.973241,127.102948
41220-00064,자란쌈지 마을쉼터,경기도 평택시 비전동 600-25,36.997450,127.094460
41220-00065,평궁리 마을쉼터,경기도 평택시 팽성읍 평궁리 474-12,36.971743,127.088742
41220-00066,함정리 마을쉼터,경기도 평택시 팽성읍 함정리 155-11,36.953171,127.014210
41220-00467,율북 묘지공원,경기도 평택시 청북면 율북리 산41,37.071975,126.969708
41220-00067,내리 문화공원,경기도 평택시 팽성읍 내리 산3-3,36.9747088985,127.0305923165
41220-00068,마을마당 문화공원(소사2지구),경기도 평택시 소사동 산6,36.990495,127.131715
41220-00069,신흥 문화공원(신흥지구),경기도 평택시 용이동 752,37.000970,127.145431
41220-00071,고잔 소공원,경기도 평택시 신대동 368-18,36.996702,127.068161
41220-00072,남산1호 소공원(팽성6호),경기도 평택시 팽성읍 남산리 561-1,36.954545,127.063028
41220-00073,남산2호 소공원(팽성7호),경기도 평택시 팽성읍 남산리 564,36.953862,127.064383
41220-00074,노와이주1호 소공원(노와지구13호),경기도 평택시 팽성읍 노와리 460-3,36.946808,127.092641
41220-00075,노와이주2호 소공원(노와지구14호),경기도 평택시 팽성읍 노와리 461-17,36.946282,127.093677
41220-00076,두정1리 소공원,경기도 평택시 팽성읍 두정리 45-1,36.940061,127.038337
41220-00077,등꽃향기 소공원,경기도 평택시 비전동 839-10,36.994020,127.111466
41220-00078,롯데캐슬 소공원,경기도 평택시 비전동 953 954,36.999790,127.096026
41220-00035,지제울 근린공원(지제 세교지구),경기도 평택시 지제동 624-2답,37.017364,127.077589
41220-00036,추팔 근린공원(송화택지),경기도 평택시 팽성읍 추팔리 398-2,36.951944,127.075162
41220-00037,통복(원평) 근린공원,경기도 평택시 통복동 170,36.990316,127.080030
41220-00038,평택공단 근린공원,경기도 평택시 세교동 540,37.010515,127.079436
41220-00039,풀내음 근린공원(소사2지구),경기도 평택시 소사동 81-1,36.986737,127.126498
41220-00040,하날 근린공원(소사벌택지 2호),경기도 평택시 비전동 1035공,37.004393,127.110811
41220-00041,현신 근린공원(용이지구 1호),경기도 평택시 용이동 494-1,36.998446,127.151239
41220-00042,현촌 근린공원(현촌지구),경기도 평택시 용이동 602-2,36.997396,127.130501
41220-00043,노성1리 마을쉼터,경기도 평택시 팽성읍 노성리 42-1,36.929800,127.031500
41220-00044,노성2리 마을쉼터,경기도 평택시 팽성읍 노성리 79-9,36.935208,127.021417
41220-00045,노양1리 마을쉼터,경기도 평택시 팽성읍 노양리 40-15,36.936252,126.999602
41220-00046,노양2리 마을쉼터,경기도 평택시 팽성읍 노양리 14-9,36.941074,127.006815
41220-00047,노와1리 마을쉼터,경기도 평택시 팽성읍 노와리 95-1,36.958509,127.087795
41220-00048,노와2리 마을쉼터,경기도 평택시 팽성읍 노와리 244-2,36.949849,127.096921
41220-00049,노와4리 마을쉼터,경기도 평택시 팽성읍 노와리 153-190,36.951728,127.081941
41220-00050,대사1리 마을쉼터,경기도 평택시 팽성읍 대사리 205-7,36.944426,127.062246
41220-00051,동창리 마을쉼터,경기도 평택시 팽성읍 동창리 121-2,36.972130,127.034420
41220-00052,두1리 마을쉼터,경기도 평택시 팽성읍 두리 123-14,36.977043,127.064720
41220-00053,두2리 마을쉼터,경기도 평택시 팽성읍 두리 36-18,36.970214,127.063551
41220-00054,두정2리 마을쉼터,경기도 평택시 팽성읍 두정리 138-6,36.945054,127.026243
41220-00055,두정3리 마을쉼터,경기도 평택시 팽성읍 두정리 163-127,36.944500,127.032089
41220-00016,사군자 근린공원(서재지구),경기도 평택시 동삭동 710,37.007972,127.097251
41220-00017,사색 근린공원(서재지구),경기도 평택시 동삭동 719,37.012872,127.098871
41220-00018,삼각산(평택) 근린공원,경기도 평택시 비전동 473-78,37.001172,127.090938
41220-00019,상서재동초 근린공원(동삭2지구),경기도 평택시 동삭동 산25-1,37.018494,127.098362
41220-00020,상서재마당 근린공원(동삭2지구 근린2호),경기도 평택시 동삭동 산1,37.013885,127.102771
41220-00021,생기자리 근린공원(용죽지구),경기도 평택시 용이동 산122번지,37.006435,127.136474
41220-00022,세교 근린공원(세교지구),경기도 평택시 세교동 556-1,37.002585,127.083758
41220-00023,솔숲 근린공원(소사2지구),경기도 평택시 소사동 산13-1,36.990325,127.130417
41220-00024,송화 근린공원,경기도 평택시 팽성읍 송화리 106-1,36.958616,127.057677
41220-00025,신흥 근린공원(신흥지구),경기도 평택시 용이동 744-1번지,37.003764,127.148865
41220-00026,안정 근린공원,경기도 평택시 팽성읍 송화리 68-55,36.960697,127.053128
41220-00027,역사유적 근린공원(소사지구),경기도 평택시 소사동 506,36.987599,127.120279
41220-00028,영신 제1호 근린공원(영신지구),경기도 평택시 동삭동 589-3,37.018323,127.083491
41220-00029,영신이들 근린공원(지제 세교지구),경기도 평택시 세교동 392답,37.011250,127.073562
41220-00030,용이 근린공원(용이지구 3호),경기도 평택시 용이동 441-1,36.996314,127.136287
41220-00031,원동 근린공원 (모산영신지구),경기도 평택시 동삭동 467-9,37.0206357620,127.0929779871
41220-00032,은실 근린공원,경기도 평택시 세교동 산86-1,37.006568,127.081995
41220-00033,이화 근린공원(용이지구 2호),경기도 평택시 용이동 483,36.999855,127.145107
41220-00034,죽백 근린공원(용죽지구),경기도 평택시 용이동 561-1번지,37.001502,127.149320
29110-00041,내남3,광주광역시 동구 내남동 903,35.090829,126.9421201
29110-00042,학동,광주광역시 동구 학동 1013,35.13113755,126.9263174
29110-00043,계림8,광주광역시 동구 계림동 962,35.15815221,126.913944
29110-00044,천변,광주광역시 동구 수기동 138,35.14992915,126.909259
41220-00001,잔다리 근린공원,경기도 평택시 세교동 55,37.004773,127.087643
41220-00002,남산 근린공원,경기도 평택시 팽성읍 남산리 산49-1,36.954556,127.054893
41220-00003,남산공원,경기도 평택시 팽성읍 송화리 789,36.961612,127.060809
41220-00004,농성 근린공원,경기도 평택시 팽성읍 안정리 78-27,36.965206,127.043748
41220-00005,다솜 근린공원(소사벌택지 1호),경기도 평택시 비전동 1005-1 1028-3 1089-3,37.002667,127.093562
41220-00006,당산 근린공원(소사벌택지 3호),경기도 평택시 죽백동 728공,37.009141,127.116307
41220-00007,덕동산 근린공원(비전지구),경기도 평택시 비전동 산84-14,36.997727,127.100058
41220-00008,동부 근린공원(비전3지구),경기도 평택시 비전동 880,36.993988,127.118683
41220-00009,동부그린 근린공원(비전3지구),경기도 평택시 비전동 875,36.996786,127.117584
41220-00010,동삭 근린공원(동삭지구 1호),경기도 평택시 동삭동 산38-2,37.0206357620,127.0929779871
41220-00011,모산 근린공원,경기도 평택시 동삭동 396,37.014183,127.093286
41220-00012,배나무 근린공원(소사벌택지 4호),경기도 평택시 죽백동 764공,37.006145,127.116709
41220-00013,배다리 근린공원(소사벌택지 5호),경기도 평택시 죽백동 800공,37.001031,127.119240
41220-00014,부용산 근린공원,경기도 평택시 팽성읍 객사리 산3,36.967630,127.060400
41220-00015,비전 근린공원(매봉산),경기도 평택시 비전동 274-6,36.995058,127.103395
29110-00012,율곡,광주광역시 동구 산수동 708,35.15985601,126.9372678
29110-00013,월남,광주광역시 동구 월남동 623,35.10339656,126.938209
29110-00014,용산,광주광역시 동구 용산동 670,35.11799477,126.9231157
29110-00015,남계,광주광역시 동구 내남동 303,35.09425388,126.9391133
29110-00016,학운1,광주광역시 동구 학동 810,35.13049928,126.933169
29110-00017,학운2,광주광역시 동구 학동 781-15,35.13140446,126.932773
29110-00018,학운3,광주광역시 동구 학동 782-1,35.131232,126.9327996
29110-00019,서남2-1,광주광역시 동구 서석동 106-14,35.144371,126.922377
29110-00020,서남2-2,광주광역시 동구 서석동 117-2,35.144162,126.922333
29110-00021,산수1동 3-1,광주광역시 동구 산수동 489-16,35.154726,126.923214
29110-00022,산수1동 3-2,광주광역시 동구 산수동 487-21,35.154847,126.922527
29110-00023,산수1동 3-3,광주광역시 동구 산수동 490-7,35.15488243,126.923236
29110-00024,계림5-2,광주광역시 동구 계림동 53,35.15854489,126.9250135
29110-00025,산수1,광주광역시 동구 산수동 380-18,35.15431915,126.926806
29110-00026,계림7,광주광역시 동구 계림동 196-11,35.157856,126.923602
29110-00027,지원2,광주광역시 동구 용산동 226,35.11908285,126.930703
29110-00028,동명2-1,광주광역시 동구 동명동 181-1,35.15270011,126.925899
29110-00029,동명2-2,광주광역시 동구 동명동 207-70,35.152636,126.924836
29110-00030,계림2-1,광주광역시 동구 계림동 1873,35.16150481,126.9241797
29110-00031,지원3-1,광주광역시 동구 소태동 230,35.12123006,126.9357376
29110-00032,지원3-2,광주광역시 동구 소태동 303,35.12121592,126.936784
29110-00033,지원1-1,광주광역시 동구 용산동 276-2,35.122048,126.932528
29110-00034,지원1-2,광주광역시 동구 용산동 298-27,35.125408,126.930531
29110-00035,지원1-3,광주광역시 동구 용산동 293-3,35.125313,126.930964
29110-00036,지원1-4,광주광역시 동구 용산동 636-3,35.122524,126.9316854
29110-00037,미량1,광주광역시 동구 학동 706,35.1337463,126.9326147
29110-00038,미량2,광주광역시 동구 학동 692,35.1343115,126.9319398
29110-00039,내남1,광주광역시 동구 내남동 900,35.0926208,126.940714
29110-00040,내남2,광주광역시 동구 내남동 901,35.09187217,126.9394753
11500-00135,풀잎,서울특별시 강서구 공항동 705,37.556989,126.816565
11500-00136,푸르미,서울특별시 강서구 마곡동 316-1,37.570478,126.825219
11500-00137,예솔,서울특별시 강서구 마곡동 397-1,37.563629,126.822694
11500-00138,솔,서울특별시 강서구 외발산동 69-1,37.555856,126.825767
11500-00139,햇빛,서울특별시 강서구 내발산동 384-2,37.555822,126.826886
11500-00140,마곡지구4호,서울특별시 강서구 마곡동 811-5,37.568317,126.826463
11500-00141,푸른수명산,서울특별시 강서구 화곡동 1091-15,37.544175,126.830269
11500-00142,마곡,서울특별시 강서구 마곡동 737-16,37.56758598,126.8219651
11500-00143,염창,서울특별시 강서구염창동 309-1,37.549839,126.8706462
11500-00144,염창2,서울특별시 강서구염창동 306-1,37.551722,126.873857
11500-00145,탑산(가양동),서울특별시 강서구가양동 1499,37.566194,126.846336
11500-00146,새개,서울특별시 강서구마곡동 800-7,37.558287,126.8301253
11500-00147,놋다리,서울특별시 강서구마곡동 790-6,37.562055,126.8363266
11500-00148,똘고랑,서울특별시 강서구 마곡동 756-4,37.57072504,126.8279071
11500-00149,선두암,서울특별시 강서구 마곡동 778-4,37.56729616,126.8382088
11500-00150,한다리,서울특별시 강서구 마곡동 727-1038,37.5610600,126.8303690
11500-00151,가로공원1호,서울특별시 강서구 마곡동 797-5,37.559061,126.837242
29110-00001,푸른길,광주광역시 동구 학동 55-151,35.138933,126.9218729
29110-00002,산수,광주광역시 동구 산수동 401-1,35.15478679,126.9292655
29110-00003,금남로,광주광역시 동구 금남로3가 20-2,35.14966953,126.9156302
29110-00004,두암제2,광주광역시 동구 산수동 687,35.16158847,126.9379859
29110-00005,용산,광주광역시 동구 용산동 323,35.11967302,126.9241534
29110-00006,산수제1,광주광역시 동구 산수동 568-2,35.15882516,126.934946
29110-00007,무량,광주광역시 동구 운림동 656-1,35.13262277,126.9431535
29110-00008,계림제1,광주광역시 동구 계림동 53,35.158524,126.925015
29110-00009,무지개,광주광역시 동구 운림동 693,35.130862,126.944456
29110-00010,학머리,광주광역시 동구 학동 625,35.135958,126.9269173
29110-00011,풍향,광주광역시 동구 계림동 1730,35.160909,126.927968
41220-00373,원정 어린이공원(포승공단),경기도 평택시 장안동 60-1,37.057468,127.092162
41220-00374,원평14통(삽다리) 어린이공원,경기도 평택시 진위면 하북리 94-1,37.112162,127.063630
41220-00375,유통단지 어린이공원(동부 83호),경기도 평택시 가재동 534,37.042838,127.074142
41220-00376,은실 어린이공원,경기도 평택시 진위면 견산리 393,37.108089,127.072214
41220-00377,은행 어린이공원,경기도 평택시 장안동 211-3,37.050840,127.088939
41220-00378,이곡 어린이공원,경기도 평택시 가재동 산88-2,37.041139,127.078272
